ET,Keyboard,,,Alt tunings,0,Image,0
,,Standard Tuning,,,,,
,,,,,,,
Key #:,Key:,Frequency (Hz),Tuning Name,,,,
1,A0,27.5,A0,,,,
2,A#0,29.14,A#0,,,,
3,B0,30.87,B0,,,,
4,C1,32.7,C1,,,,
5,C#1,34.65,C#1,,,,
6,D1,36.71,D1,,,,
7,D#1,38.89,D#1,,,,
8,E1,41.2,E1,,,,
9,F1,43.65,F1,,,,
10,F#1,46.25,F#1,,,,
11,G1,49,G1,,,,
12,G#1,51.91,G#1,,,,
13,A1,55,A1,,,,
14,A#1,58.27,A#1,,,,
15,B1,61.74,B1,,,,
16,C2,65.41,C2,,,,
17,C#2,69.3,C#2,,,,
18,D2,73.42,D2,,,,
19,D#2,77.78,D#2,,,,
20,E2,82.41,E2,,,,
21,F2,87.31,F2,,,,
22,F#2,92.5,F#2,,,,
23,G2,98,G2,,,,
24,G#2,103.83,G#2,,,,
25,A2,110,A2,,,,
26,A#2,116.54,A#2,,,,
27,B2,123.47,B2,,,,
28,C3,130.81,C3,,,,
29,C#3,138.59,C#3,,,,
30,D3,146.83,D3,,,,
31,D#3,155.56,D#3,,,,
32,E3,164.81,E3,,,,
33,F3,174.61,F3,,,,
34,F#3,185,F#3,,,,
35,G3,196,G3,,,,
36,G#3,207.65,G#3,,,,
37,A3,220,A3,,,,
38,A#3,233.08,A#3,,,,
39,B3,246.94,B3,,,,
40,C4,261.63,C4,,,,
41,C#4,277.18,C#4,,,,
42,D4,293.66,D4,,,,
43,D#4,311.13,D#4,,,,
44,E4,329.63,E4,,,,
45,F4,349.23,F4,,,,
46,F#4,369.99,F#4,,,,
47,G4,392,G4,,,,
48,G#4,415.3,G#4,,,,
49,A4,440,A4,,,,
50,A#4,466.16,A#4,,,,
51,B4,493.88,B4,,,,
52,C5,523.25,C5,,,,
53,C#5,554.37,C#5,,,,
54,D5,587.33,D5,,,,
55,D#5,622.25,D#5,,,,
56,E5,659.25,E5,,,,
57,F5,698.46,F5,,,,
58,F#5,739.99,F#5,,,,
59,G5,783.99,G5,,,,
60,G#5,830.61,G#5,,,,
61,A5,880,A5,,,,
62,A#5,932.33,A#5,,,,
63,B5,987.77,B5,,,,
64,C6,1046.5,C6,,,,
65,C#6,1108.73,C#6,,,,
66,D6,1174.66,D6,,,,
67,D#6,1244.51,D#6,,,,
68,E6,1318.51,E6,,,,
69,F6,1396.91,F6,,,,
70,F#6,1479.98,F#6,,,,
71,G6,1567.98,G6,,,,
72,G#6,1661.22,G#6,,,,
73,A6,1760,A6,,,,
74,A#6,1864.66,A#6,,,,
75,B6,1975.53,B6,,,,
76,C7,2093,C7,,,,
77,C#7,2217.46,C#7,,,,
78,D7,2349.32,D7,,,,
79,D#7,2489.02,D#7,,,,
80,E7,2637.02,E7,,,,
81,F7,2793.83,F7,,,,
82,F#7,2959.96,F#7,,,,
83,G7,3135.96,G7,,,,
84,G#7,3322.44,G#7,,,,
85,A7,3520,A7,,,,
86,A#7,3729.31,A#7,,,,
87,B7,3951.07,B7,,,,
88,C8,4186.01,C8,,,,
