MT,Julián Carrillo 1/3-tone Piano,,,Alt tunings,0,Image,1
,,Standard Tuning,,,,,
,,,,,,,
Key #:,Key:,Frequency (Hz),Tuning Name,,,,
1,A0,54.9,A1,,,,
2,A#0,57.1,A1+1/3,,,,
3,B0,59.4,B1-1/3,,,,
4,C1,61.8,B1,,,,
5,C#1,64.1,B1+1/3,,,,
6,D1,66.6,C#2-1/3,,,,
7,D#1,69.3,C#2,,,,
8,E1,71.9,C#2+1/3,,,,
9,F1,74.8,D#2-1/3,,,,
10,F#1,77.8,D#2,,,,
11,G1,80.7,D#2+1/3,,,,
12,G#1,84,F2-1/3,,,,
13,A1,87.3,F2,,,,
14,A#1,90.7,F2+1/3,,,,
15,B1,94.3,G2-1/3,,,,
16,C2,98,G2,,,,
17,C#2,101.8,G2+1/3,,,,
18,D2,105.8,A2-1/3,,,,
19,D#2,110,A2,,,,
20,E2,114.3,A2+1/3,,,,
21,F2,118.8,B2-1/3,,,,
22,F#2,123.4,B2,,,,
23,G2,128.3,B2+1/3,,,,
24,G#2,133.3,C#2-1/3,,,,
25,A2,138.6,C#2,,,,
26,A#2,144,C#2+1/3,,,,
27,B2,149.6,D#3-1/3,,,,
28,C3,155.4,D#3,,,,
29,C#3,161.7,D#3+1/3,,,,
30,D3,168,F3-1/3,,,,
31,D#3,174.5,F3,,,,
32,E3,181.4,F3+1/3,,,,
33,F3,188.5,G3-1/3,,,,
34,F#3,195.9,G3,,,,
35,G3,203.6,G3+1/3,,,,
36,G#3,211.6,A3-1/3,,,,
37,A3,220,A3,,,,
38,A#3,228.6,A3+1/3,,,,
39,B3,237.6,B3-1/3,,,,
40,C4,246.8,B3,,,,
41,C#4,256.6,B3+1/3,,,,
42,D4,266.7,C#4-1/3,,,,
43,D#4,277.1,C#4,,,,
44,E4,288.1,C#4+1/3,,,,
45,F4,299.4,D#4-1/3,,,,
46,F#4,311,D#4,,,,
47,G4,323.4,D#4+1/3,,,,
48,G#4,336.1,F4-1/3,,,,
49,A4,349.1,F4,,,,
50,A#4,363.1,F4+1/3,,,,
51,B4,377.1,G4-1/3,,,,
52,C5,391.9,G4,,,,
53,C#5,406.9,G4+1/3,,,,
54,D5,423.4,A4-1/3,,,,
55,D#5,440,A4,,,,
56,E5,457.2,A4+1/3,,,,
57,F5,475.2,B4-1/3,,,,
58,F#5,493.8,B4,,,,
59,G5,513.3,B4+1/3,,,,
60,G#5,533.4,C#5-1/3,,,,
61,A5,554.4,C#5,,,,
62,A#5,576.1,C#5+1/3,,,,
63,B5,598.7,D#5-1/3,,,,
64,C6,622.2,D#5,,,,
65,C#6,646.7,D#5+1/3,,,,
66,D6,672,F5-1/3,,,,
67,D#6,698.3,F5,,,,
68,E6,725.8,F5+1/3,,,,
69,F6,754.3,G5-1/3,,,,
70,F#6,783.8,G5,,,,
71,G6,814.7,G5+1/3,,,,
72,G#6,846.7,A5-1/3,,,,
73,A6,880,A5,,,,
74,A#6,914.5,A5+1/3,,,,
75,B6,950.3,B5-1/3,,,,
76,C7,987.4,B5,,,,
77,C#7,1026.5,B5+1/3,,,,
78,D7,1066.8,C#6-1/3,,,,
79,D#7,1108.9,C#6,,,,
80,E7,1152.2,C#6+1/3,,,,
81,F7,1197.5,D#6-1/3,,,,
82,F#7,1244.4,D#6,,,,
83,G7,1293.3,D#6+1/3,,,,
84,G#7,1344,F6-1/3,,,,
85,A7,1396.6,F6,,,,
86,A#7,1451.7,F6+1/3,,,,
87,B7,1508.6,G6-1/3,,,,
88,C8,1567.5,G6,,,,
