JI,Henry Liston Euharmonic Organ (Calcutta 1812),,,Alt tunings,8,Image,2,,,,,,,,,,,,
,,Standard Tuning,,"Alternate Tuning 1 (""Grave 1"")",,"Alternate Tuning 2 (""Grave 2"")",,"Alternate Tuning 3 (""Extreme Sharp 2"")",,"Alternate Tuning 4 (""Extreme Sharp 1"")",,"Alternate Tuning 5 (""Extreme Flat 2""",,"Alternate Tuning 6 (""Extreme Flat 1"")",,"Alternate Tuning 7 (""Acute 1"")",,"Alternate Tuning 8 (""Acute 2"")",
,,,,1,,0,,2,,3,,4,,5,,6,,7,
Key #:,Key:,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name
1,A0,25.94,A-1,25.94,A-1,25.94,A-1,25.94,A-1,25.94,A-1,25.94,A-1,25.94,A-1,25.94,A-1,25.94,A-1
2,A#0,27.33,Bb,27.33,Bb,27.33,Bb,27.02,A#-2,27.02,A#-2,27.33,Bb,27.33,Bb,27.67,Bb+1,27.67,Bb+1
3,B0,28.82,B-1,28.82,B-1,34.71,B-2,28.82,B-1,28.82,B-1,29.15,Cb+1,28.82,B-1,29.51,Cb+2,29.18,B
4,C1,30.74,C,30.4,B#-2,30.36,C-1,30.4,B#-2,30.74,C,30.74,C,30.74,C,30.4,B#-2,31.15,C+1
5,C#1,32.42,C#-1,32.02,C#-2,32.02,C#-2,32.42,C#-1,32.42,C#-1,32.78,Db+1,32.78,Db+1,32.42,C#-1,32.42,C#-1
6,D1,34.58,D,34.16,D-1,34.16,D-1,34.58,D,34.58,D,34.58,D,34.58,D,34.58,D,34.58,D
7,D#1,36.89,Eb+1,36.43,Eb,36.43,Eb,36.02,D#-2,36.02,D#-2,36.89,Eb+1,36.89,Eb+1,36.89,Eb+1,36.89,Eb+1
8,E1,38.43,E-1,38.43,E-1,38.43,E-1,38.43,E-1,38.43,E-1,38.43,E-1,38.43,E-1,38.91,E,38.91,E
9,F1,40.99,F,40.02,E#-3,40.02,E#-3,40.53,E#-2,40.99,F,40.99,F,40.99,F,41.5,F+1,41.5,F+1
10,F#1,41.5,F#-1,42.7,F#-2,42.7,F#-2,43.23,F#-1,43.23,F#-1,43.72,Gb+1,43.23,F#-1,44.27,Gb+2,44.27,Gb+2
11,G1,46.11,G,46.11,G,46.11,G-1,46.11,G,46.11,G,46.11,G,46.11,G,46.11,G,46.69,G+1
12,G#1,48.03,G#-2,48.03,G#-2,48.03,G#-2,48.03,G#-2,48.03,G#-2,49.18,Ab+1,49.18,Ab+1,48.63,G#-1,48.63,G#-1
13,A1,51.88,A-1,51.88,A-1,51.88,A-1,51.88,A-1,51.88,A-1,51.88,A-1,51.88,A-1,51.88,A-1,51.88,A-1
14,A#1,54.65,Bb,54.65,Bb,54.65,Bb,54.04,A#-2,54.04,A#-2,54.65,Bb,54.65,Bb,55.33,Bb+1,55.33,Bb+1
15,B1,57.64,B-1,57.64,B-1,69.43,B-2,57.64,B-1,57.64,B-1,58.29,Cb+1,57.64,B-1,59.02,Cb+2,58.36,B
16,C2,61.48,C,60.79,B#-2,60.72,C-1,60.79,B#-2,61.48,C,61.48,C,61.48,C,60.79,B#-2,62.3,C+1
17,C#2,64.84,C#-1,64.03,C#-2,64.03,C#-2,64.84,C#-1,64.84,C#-1,65.57,Db+1,65.57,Db+1,64.84,C#-1,64.84,C#-1
18,D2,69.17,D,68.31,D-1,68.31,D-1,69.17,D,69.17,D,69.17,D,69.17,D,69.17,D,69.17,D
19,D#2,73.78,Eb+1,72.87,Eb,72.87,Eb,72.05,D#-2,72.05,D#-2,73.78,Eb+1,73.78,Eb+1,73.78,Eb+1,73.78,Eb+1
20,E2,76.85,E-1,76.85,E-1,76.85,E-1,76.85,E-1,76.85,E-1,76.85,E-1,76.85,E-1,77.83,E,77.83,E
21,F2,81.97,F,80.04,E#-3,80.04,E#-3,81.05,E#-2,81.97,F,81.97,F,81.97,F,83,F+1,83,F+1
22,F#2,83,F#-1,85.39,F#-2,85.39,F#-2,86.46,F#-1,86.46,F#-1,87.44,Gb+1,86.46,F#-1,88.53,Gb+2,88.53,Gb+2
23,G2,92.23,G,92.22,G,92.22,G-1,92.22,G,92.22,G,92.22,G,92.22,G,92.22,G,93.38,G+1
24,G#2,96.07,G#-2,96.06,G#-2,96.06,G#-2,96.06,G#-2,96.06,G#-2,98.37,Ab+1,98.37,Ab+1,97.27,G#-1,97.27,G#-1
25,A2,103.75,A-1,103.75,A-1,103.75,A-1,103.75,A-1,103.75,A-1,103.75,A-1,103.75,A-1,103.75,A-1,103.75,A-1
26,A#2,109.3,Bb,109.3,Bb,109.3,Bb,108.07,A#-2,108.07,A#-2,109.3,Bb,109.3,Bb,110.67,Bb+1,110.67,Bb+1
27,B2,115.28,B-1,115.28,B-1,138.85,B-2,115.28,B-1,115.28,B-1,116.59,Cb+1,115.28,B-1,118.05,Cb+2,116.72,B
28,C3,122.96,C,121.59,B#-2,121.44,C-1,121.59,B#-2,122.96,C,122.96,C,122.96,C,121.59,B#-2,124.6,C+1
29,C#3,129.69,C#-1,128.06,C#-2,128.06,C#-2,129.69,C#-1,129.69,C#-1,131.14,Db+1,131.14,Db+1,129.69,C#-1,129.69,C#-1
30,D3,138.33,D,136.63,D-1,136.63,D-1,138.33,D,138.33,D,138.33,D,138.33,D,138.33,D,138.33,D
